job_date,range_start,range_end,number_of_devices,cell_id_mode,total_precipitation,temperature,humidity,precipitation_accumulated,wind_speed,wind_gust,wind_direction,illuminance,solar_irradiance,fo_uv,uv_index,precipitation_rate,pressure
2024-01-07,1704067200000,1704585600000,3991,871eda743ffffff,142940378435.2436,9.751044089492085,83.2752665533935,1658.356710856024,0.959704264284368,1.2889698140661077,190.63214714000702,204000.19000223078,1607.1866886624894,286.25088838160883,0.21766693287239477,0.13014857275822514,987.2665250018734
2024-01-14,1704672000000,1705190400000,4045,871eda743ffffff,156079205635.5712,2.476468524958411,79.50558399923474,1801.8413674426042,0.8874731983853339,1.2525935432410316,183.16559594443268,185002.06380185223,1457.4402587466477,297.6189236545676,0.22722990068673496,0.08023125457268153,995.5995597569528
2024-01-21,1705276800000,1705795200000,4085,871eda743ffffff,172391777789.5816,1.996445089650884,80.07344340003598,1965.1184839958783,1.1311047074119778,1.4586815991845743,198.30907507982678,279892.3303267182,2206.141428089164,388.4760001444887,0.2804676315927013,0.12231970221855465,988.1831531461738
2024-01-28,1705881600000,1706400000000,4205,871eda743ffffff,175993523305.37424,7.2641793362629965,82.7146681686003,1978.917404474414,1.0759470968139364,1.4554639501432503,191.26446167052973,221954.1971124284,1749.3603924800793,371.109347376318,0.27934457957499476,0.20412938649438975,997.1269480734621
2024-02-04,1706486400000,1706918400000,4324,871eda743ffffff,156833423017.7876,7.133660948718104,79.98584286780037,2049.9674109977,0.8014378997124719,1.1119894666576984,189.16184679071284,252846.77935358824,1991.6900881062018,414.8944759658998,0.3485411335365514,0.04369991811969044,998.555152159862
2024-02-11,1707177600000,1707609600000,4447,871eda743ffffff,155553021109.45758,8.464088962286251,79.19089255962943,1981.0203610356054,0.8818069034686227,1.2291912636246654,183.80298801360092,221310.06278710547,1742.6859787307858,408.04102389428783,0.3822704315368359,0.11969288937625851,983.6722914340294
2024-02-18,1707696000000,1708214400000,4529,871eda743ffffff,193516426836.8551,8.134403482313267,79.25477982075931,2021.8670424734291,0.8166375593535348,1.1417995154572746,191.5499157694823,245438.146054862,1944.1249404511188,450.6538975908514,0.4349460886969287,0.06208828595774278,991.4391643419767
2024-02-25,1708300800000,1708819200000,4605,871eda743ffffff,211525643130.93506,8.621725017780175,77.25686467780075,2182.2014622168745,0.8511201684505535,1.1893282843661035,188.81735908587015,328272.62879272224,2586.7275425369935,499.6330604283023,0.5267348147657236,0.06861874866390437,989.5625615922056
2024-03-04,1708905600000,1709423984000,4672,871eda743ffffff,201094486599.27512,8.88966085324069,76.83164185299862,2457.963805329003,0.9642924941868809,1.3147365778296076,177.52371784368694,274987.49478246516,2166.6539846608434,491.30141188748837,0.5221759455307132,0.07592046624072767,987.9589701215832
2024-03-11,1709078400000,1709769584000,4721,871eda743ffffff,190172637577.99802,9.560205918071695,80.18719433982672,2303.6522839613444,0.7999172921758526,1.0825964466040894,176.17775652669724,285236.22669412306,2247.01691301422,480.5048828171901,0.567554275806844,0.06442065149206092,989.7658593050318
2024-03-18,1709769600000,1710460784000,4787,871eda743ffffff,289677497744.34485,9.855475002545145,75.89670493205304,2169.830295111565,0.9355194485812929,1.2837695699791525,177.56977586780593,326597.92901149404,2572.56576845379,562.8704400382919,0.6592131212529083,0.08486225636140969,988.7797170851576
2024-03-25,1710460800000,1711065584000,4831,871eda743ffffff,178805023318.73895,10.858428346886457,73.79500283097842,1513.8487216790522,1.9462627046884864,1.1460585372900103,188.96298871642034,295632.4748885964,2327.6778248043993,587.3988670708062,0.760103725189241,0.040087913183152364,991.9120521114139
2024-04-01,1711065600000,1711843184000,4889,871eda743ffffff,215720639530.64264,10.892251198263274,72.46021853721274,1413.0862345347705,151307060606062.62,1.4209033733982313,181.78285189434155,345481.11407336046,2721.2257625901198,577.2706592797197,0.7929162049874787,0.09543880367821567,984.5224563455013
2024-04-08,1711843200000,1712447984000,4960,871eda743ffffff,140907800093.17236,13.618096890636577,72.38022326244561,1177.4863181254898,1.010857075423889,1.3977036676001868,185.44955821261655,339687.4192800465,2675.405876293607,705.5669952163139,0.885110042917795,0.0932420030819429,986.1631040162765
2024-04-15,1712448000000,1713164400000,5020,871eda743ffffff,143320857919.11795,15.641246796189128,67.68257285967358,1002.8873137600735,0.9565391278334743,1.3424306971506492,185.868680703609,341424.4297524002,2688.6605367170296,832.9686723024447,1.0488674428034186,0.054383937185294155,993.2076028089211
2024-04-22,1713225600000,1713769200000,5050,871eda743ffffff,115145002238.50584,12.456239855890198,70.93425782674068,1054.3385082297173,0.9321301952351679,1.3228417984865262,190.76229352083934,349498.2949723918,2752.1250280832096,837.6943869954363,1.0042940772319127,0.0796737123723699,990.8124738782369
2024-04-29,1713830400000,1714374000000,5093,871eda743ffffff,122351783651.6677,13.75911115111374,70.47218212120875,1114.5279174211955,0.869683024226605,1.213128217490318,180.41660885127786,323348.46210677945,2545.7482877811285,819.1341034679922,1.021763111615401,0.06256678377403152,989.694331259541
2024-05-06,1714435200000,1714978800000,5114,871eda743ffffff,138362663927.39612,-7717981.655955964,73.15813785975882,1265.788710168812,0.8171437112018568,1.1301374171469485,177.85634748476954,293707.8476280188,2312.201659542964,830.7398597976511,1.0826574676812468,0.09501368027536373,989.0163213184436
2024-05-13,1715040000000,1715583600000,5136,871eda743ffffff,137629272987.6794,17.563143307824078,69.6019766053254,1256.8504945351501,0.7393707126494174,1.0223763126502408,178.5991841505923,331633.7091667569,2610.8930511011895,810.1328987602196,1.2290644271651474,0.05546187508949806,992.5657757551223
